instrument_token,exchange_token,tradingsymbol,,,,,,,,segment,
261385,1021,NIFTY INFRA,NIFTY INFRA,0,,0,0,0,EQ,INDICES,NSE
259849,1015,NIFTY IT,NIFTY IT,0,,0,0,0,EQ,INDICES,NSE
289545,1131,NIFTY LARGEMID250,NIFTY LARGEMID250,0,,0,0,0,EQ,INDICES,NSE
290825,1136,NIFTY M150 QLTY50,NIFTY M150 QLTY50,0,,0,0,0,EQ,INDICES,NSE
263945,1031,NIFTY MEDIA,NIFTY MEDIA,0,,0,0,0,EQ,INDICES,NSE
263689,1030,NIFTY METAL,NIFTY METAL,0,,0,0,0,EQ,INDICES,NSE
290569,1135,NIFTY MICROCAP250,NIFTY MICROCAP250,0,,0,0,0,EQ,INDICES,NSE
270601,1057,NIFTY MID LIQ 15,NIFTY MID LIQ 15,0,,0,0,0,EQ,INDICES,NSE
288009,1125,NIFTY MID SELECT,NIFTY MIDCAP SELECT (MIDCPNIFTY),0,,0,0,0,EQ,INDICES,NSE
256777,1003,NIFTY MIDCAP 100,NIFTY MIDCAP 100,0,,0,0,0,EQ,INDICES,NSE
266249,1040,NIFTY MIDCAP 150,NIFTY MIDCAP 150,0,,0,0,0,EQ,INDICES,NSE
260873,1019,NIFTY MIDCAP 50,NIFTY MIDCAP 50,0,,0,0,0,EQ,INDICES,NSE
266505,1041,NIFTY MIDSML 400,NIFTY MIDSML 400,0,,0,0,0,EQ,INDICES,NSE
262153,1024,NIFTY MNC,NIFTY MNC,0,,0,0,0,EQ,INDICES,NSE
270857,1058,NIFTY NEXT 50,NIFTY NEXT 50,0,,0,0,0,EQ,INDICES,NSE
289033,1129,NIFTY OIL AND GAS,NIFTY OIL AND GAS,0,,0,0,0,EQ,INDICES,NSE
262409,1025,NIFTY PHARMA,NIFTY PHARMA,0,,0,0,0,EQ,INDICES,NSE
262665,1026,NIFTY PSE,NIFTY PSE,0,,0,0,0,EQ,INDICES,NSE
262921,1027,NIFTY PSU BANK,NIFTY PSU BANK,0,,0,0,0,EQ,INDICES,NSE
271113,1059,NIFTY PVT BANK,NIFTY PVT BANK,0,,0,0,0,EQ,INDICES,NSE
261129,1020,NIFTY REALTY,NIFTY REALTY,0,,0,0,0,EQ,INDICES,NSE
263177,1028,NIFTY SERV SECTOR,NIFTY SERV SECTOR,0,,0,0,0,EQ,INDICES,NSE
267017,1043,NIFTY SMLCAP 100,NIFTY SMLCAP 100,0,,0,0,0,EQ,INDICES,NSE
267273,1044,NIFTY SMLCAP 250,NIFTY SMLCAP 250,0,,0,0,0,EQ,INDICES,NSE
266761,1042,NIFTY SMLCAP 50,NIFTY SMLCAP 50,0,,0,0,0,EQ,INDICES,NSE
290313,1134,NIFTY TOTAL MKT,NIFTY TOTAL MKT,0,,0,0,0,EQ,INDICES,NSE
271881,1062,NIFTY100 EQL WGT,NIFTY100 EQL WGT,0,,0,0,0,EQ,INDICES,NSE
291593,1139,NIFTY100 ESG,NIFTY100 ESG,0,,0,0,0,EQ,INDICES,NSE
267785,1046,NIFTY100 LIQ 15,NIFTY100 LIQ 15,0,,0,0,0,EQ,INDICES,NSE
272137,1063,NIFTY100 LOWVOL30,NIFTY100 LOWVOL30,0,,0,0,0,EQ,INDICES,NSE
272393,1064,NIFTY100 QUALTY30,NIFTY100 QUALTY30,0,,0,0,0,EQ,INDICES,NSE
289801,1132,NIFTY100ESGSECLDR,NIFTY100ESGSECLDR,0,,0,0,0,EQ,INDICES,NSE
265737,1038,NIFTY200 QUALTY30,NIFTY200 QUALTY30,0,,0,0,0,EQ,INDICES,NSE
290057,1133,NIFTY200MOMENTM30,NIFTY200MOMENTM30,0,,0,0,0,EQ,INDICES,NSE
265225,1036,NIFTY50 DIV POINT,NIFTY50 DIV POINT,0,,0,0,0,EQ,INDICES,NSE
271625,1061,NIFTY50 EQL WGT,NIFTY50 EQL WGT,0,,0,0,0,EQ,INDICES,NSE
259081,1012,NIFTY50 PR 1X INV,NIFTY50 PR 1X INV,0,,0,0,0,EQ,INDICES,NSE
258825,1011,NIFTY50 PR 2X LEV,NIFTY50 PR 2X LEV,0,,0,0,0,EQ,INDICES,NSE
259593,1014,NIFTY50 TR 1X INV,NIFTY50 TR 1X INV,0,,0,0,0,EQ,INDICES,NSE
259337,1013,NIFTY50 TR 2X LEV,NIFTY50 TR 2X LEV,0,,0,0,0,EQ,INDICES,NSE
267529,1045,NIFTY50 VALUE 20,NIFTY50 VALUE 20,0,,0,0,0,EQ,INDICES,NSE
289289,1130,NIFTY500 MULTICAP,NIFTY500 MULTICAP,0,,0,0,0,EQ,INDICES,NSE
5351937,20906,A2ZINFRA,,,,,,,,NSE,
3208449,12533,AAATECH,,,,,,,,NSE,
60161,235,AAKASH,,,,,,,,NSE,
1342721,5245,AAREYDRUGS,,,,,,,,NSE,
263681,1030,AARON,,,,,,,,NSE,
1147137,4481,AARTIDRUGS,,,,,,,,NSE,
1793,7,AARTIIND,,,,,,,,NSE,
3550209,13868,AARTIPHARM,,,,,,,,NSE,
3649537,14256,AARTIPP-E1,,,,,,,,NSE,
4923649,19233,AARTISURF,,,,,,,,NSE,
3102977,12121,AARTISURF-P1,,,,,,,,NSE,
3525377,13771,AARVEEDEN,,,,,,,,NSE,
4882689,19073,AARVI,,,,,,,,NSE,
1378561,5385,AAVAS,,,,,,,,NSE,
2561,10,ABAN,,,,,,,,NSE,
3329,13,ABB,,,,,,,,NSE,
4583169,17903,ABBOTINDIA,,,,,,,,NSE,
5533185,21614,ABCAPITAL,,,,,,,,NSE,
1993473,7787,ABCOTS-SM,,,,,,,,NSE,
7707649,30108,ABFRL,,,,,,,,NSE,
2943489,11498,ABFRL-W1,,,,,,,,NSE,
2821633,11022,ABINFRA-SM,,,,,,,,NSE,
1420545,5549,ABMINTLLTD,,,,,,,,NSE,
2198529,8588,ABNINT-IT,,,,,,,,NSE,
1540609,6018,ABSLAMC,,,,,,,,NSE,
2550785,9964,ABSLBAINAV,,,,,,,,NSE,
3580673,13987,ABSLBANETF,,,,,,,,NSE,
1878785,7339,ABSLNN50ET,,,,,,,,NSE,
2553089,9973,ABSLNNINAV,,,,,,,,NSE,
5633,22,ACC,,,,,,,,NSE,
1805569,7053,ACCELYA,,,,,,,,NSE,
5431553,21217,ACCORD-SM,,,,,,,,NSE,
375041,1465,ACCURACY,,,,,,,,NSE,
3478273,13587,ACE,,,,,,,,NSE,
3016705,11784,ACEINTEG-BE,,,,,,,,NSE,
3078145,12024,ACI,,,,,,,,NSE,
6401,25,ADANIENT,,,,,,,,NSE,
912129,3563,ADANIGREEN,,,,,,,,NSE,
3861249,15083,ADANIPORTS,,,,,,,,NSE,
4451329,17388,ADANIPOWER,,,,,,,,NSE,
2615553,10217,ADANITRANS,,,,,,,,NSE,
5058817,19761,ADFFOODS,,,,,,,,NSE,
63489,248,ADL-BE,,,,,,,,NSE,
8705,34,ADORWELD,,,,,,,,NSE,
1267969,4953,ADROITINFO,,,,,,,,NSE,
3792129,14813,ADSL,,,,,,,,NSE,
3774721,14745,ADVANIHOTR,,,,,,,,NSE,
4617985,18039,ADVENZYMES,,,,,,,,NSE,
10241,40,AEGISCHEM,,,,,,,,NSE,
2511361,9810,AETHER,,,,,,,,NSE,
2903809,11343,AFFLE,,,,,,,,NSE,
867585,3389,AGARIND,,,,,,,,NSE,
3652353,14267,AGARWALFT-ST,,,,,,,,NSE,
361473,1412,AGI,,,,,,,,NSE,
2685697,10491,AGNI-SM,,,,,,,,NSE,
2834433,11072,AGRITECH,,,,,,,,NSE,
2315777,9046,AGROPHOS,,,,,,,,NSE,
2029313,7927,AGSTRA,,,,,,,,NSE,
2756865,10769,AHIMSA-SM,,,,,,,,NSE,
3401729,13288,AHL,,,,,,,,NSE,
513025,2004,AHLADA,,,,,,,,NSE,
4976129,19438,AHLEAST,,,,,,,,NSE,
4565249,17833,AHLUCONT,,,,,,,,NSE,
3350017,13086,AIAENG,,,,,,,,NSE,
1184257,4626,AILIMITED-SM,,,,,,,,NSE,
2533633,9897,AIRAN,,,,,,,,NSE,
1553409,6068,AIROLAM,,,,,,,,NSE,
1647361,6435,AIRTELPP-E1,,,,,,,,NSE,
123393,482,AISL-SM,,,,,,,,NSE,
2079745,8124,AJANTPHARM,,,,,,,,NSE,
4430593,17307,AJMERA,,,,,,,,NSE,
871169,3403,AJOONI,,,,,,,,NSE,
3535617,13811,AJRINFRA-BZ,,,,,,,,NSE,
3458561,13510,AKASH,,,,,,,,NSE,
557057,2176,AKG,,,,,,,,NSE,
2447361,9560,AKSHAR-BE,,,,,,,,NSE,
5165569,20178,AKSHARCHEM,,,,,,,,NSE,
2199297,8591,AKSHOPTFBR,,,,,,,,NSE,
375553,1467,AKZOINDIA,,,,,,,,NSE,
2539777,9921,ALANKIT,,,,,,,,NSE,
4417537,17256,ALBERTDAVD,,,,,,,,NSE,
20225,79,ALEMBICLTD,,,,,,,,NSE,
3495937,13656,ALICON,,,,,,,,NSE,
4341505,16959,ALKALI,,,,,,,,NSE,
2995969,11703,ALKEM,,,,,,,,NSE,
1148673,4487,ALKYLAMINE,,,,,,,,NSE,
3456257,13501,ALLCARGO,,,,,,,,NSE,
3379969,13203,ALLETEC-SM,,,,,,,,NSE,
3020289,11798,ALLSEC,,,,,,,,NSE,
4280065,16719,ALMONDZ,,,,,,,,NSE,
4524801,17675,ALOKINDS,,,,,,,,NSE,
3801089,14848,ALPA,,,,,,,,NSE,
3736833,14597,ALPHAGEO,,,,,,,,NSE,
1039361,4060,ALPSINDUS,,,,,,,,NSE,
25601,100,AMARAJABAT,,,,,,,,NSE,
1045249,4083,AMBANIORG-SM,,,,,,,,NSE,
303361,1185,AMBER,,,,,,,,NSE,
2942977,11496,AMBICAAGAR,,,,,,,,NSE,
3899905,15234,AMBIKCO,,,,,,,,NSE,
325121,1270,AMBUJACEM,,,,,,,,NSE,
3685889,14398,AMDIND,,,,,,,,NSE,
2789889,10898,AMEYA-SM,,,,,,,,NSE,
3056385,11939,AMIABLE-SM,,,,,,,,NSE,
1427969,5578,AMIORG,,,,,,,,NSE,
665089,2598,AMJLAND,,,,,,,,NSE,
346369,1353,AMJUMBO-SM,,,,,,,,NSE,
4492033,17547,AMRUTANJAN,,,,,,,,NSE,
1829121,7145,ANANDRATHI,,,,,,,,NSE,
3486721,13620,ANANTRAJ,,,,,,,,NSE,
42497,166,ANDHRAPAP,,,,,,,,NSE,
34817,136,ANDHRSUGAR,,,,,,,,NSE,
1332737,5206,ANDREWYU,,,,,,,,NSE,
82945,324,ANGELONE,,,,,,,,NSE,
4264193,16657,ANIKINDS,,,,,,,,NSE,
7534081,29430,ANKITMETAL,,,,,,,,NSE,
3496193,13657,ANLON-SM,,,,,,,,NSE,
954113,3727,ANMOL,,,,,,,,NSE,
2866689,11198,ANNAPURNA-SM,,,,,,,,NSE,
2242561,8760,ANSALAPI-BE,,,,,,,,NSE,
1329665,5194,ANTGRAPHIC,,,,,,,,NSE,
2307585,9014,ANUP,,,,,,,,NSE,
724225,2829,ANURAS,,,,,,,,NSE,
3057921,11945,ANZEN-IV,,,,,,,,NSE,
2941697,11491,APARINDS,,,,,,,,NSE,
5235969,20453,APCL,,,,,,,,NSE,
39425,154,APCOTEXIND,,,,,,,,NSE,
5535489,21623,APEX,,,,,,,,NSE,
6599681,25780,APLAPOLLO,,,,,,,,NSE,
6483969,25328,APLLTD,,,,,,,,NSE,
290305,1134,APOLLO,,,,,,,,NSE,
40193,157,APOLLOHOSP,,,,,,,,NSE,
3676417,14361,APOLLOPIPE,,,,,,,,NSE,
41729,163,APOLLOTYRE,,,,,,,,NSE,
1613313,6302,APOLSINHOT,,,,,,,,NSE,
2753281,10755,APTECHT,,,,,,,,NSE,
1391361,5435,APTUS,,,,,,,,NSE,
4299521,16795,ARCHIDPLY,,,,,,,,NSE,
1456129,5688,ARCHIES,,,,,,,,NSE,
46337,181,ARENTERP,,,,,,,,NSE,
3351553,13092,ARHAM-SM,,,,,,,,NSE,
3892225,15204,ARIES,,,,,,,,NSE,
3415041,13340,ARIHANTACA-SM,,,,,,,,NSE,
976129,3813,ARIHANTCAP,,,,,,,,NSE,
5160705,20159,ARIHANTSUP,,,,,,,,NSE,
3565057,13926,ARISTO-SM,,,,,,,,NSE,
4419329,17263,ARMANFIN,,,,,,,,NSE,
3726593,14557,AROGRANITE,,,,,,,,NSE,
2370561,9260,ARROWGREEN,,,,,,,,NSE,
4562177,17821,ARSHIYA,,,,,,,,NSE,
4660737,18206,ARSSINFRA-BE,,,,,,,,NSE,
4329729,16913,ARTEMISMED,,,,,,,,NSE,
1575937,6156,ARTNIRMAN,,,,,,,,NSE,
720385,2814,ARVEE,,,,,,,,NSE,
49409,193,ARVIND,,,,,,,,NSE,
2332417,9111,ARVINDFASN,,,,,,,,NSE,
2676993,10457,ARVSMART,,,,,,,,NSE,
1376769,5378,ASAHIINDIA,,,,,,,,NSE,
6422529,25088,ASAHISONG,,,,,,,,NSE,
2722305,10634,ASAL,,,,,,,,NSE,
4505089,17598,ASALCBR,,,,,,,,NSE,
3840257,15001,ASCOM-SM,,,,,,,,NSE,
51969,203,ASHAPURMIN,,,,,,,,NSE,
6247169,24403,ASHIANA,,,,,,,,NSE,
52737,206,ASHIMASYN,,,,,,,,NSE,
5166593,20182,ASHOKA,,,,,,,,NSE,
54273,212,ASHOKLEY,,,,,,,,NSE,
1799681,7030,ASIANENE,,,,,,,,NSE,
4716033,18422,ASIANHOTNR,,,,,,,,NSE,
60417,236,ASIANPAINT,,,,,,,,NSE,
3811585,14889,ASIANTILES,,,,,,,,NSE,
5248513,20502,ASLIND-SM,,,,,,,,NSE,
3600385,14064,ASMS,,,,,,,,NSE,
4421121,17270,ASPINWALL,,,,,,,,NSE,
4538369,17728,ASTEC,,,,,,,,NSE,
386049,1508,ASTERDM,,,,,,,,NSE,
3691009,14418,ASTRAL,,,,,,,,NSE,
2974209,11618,ASTRAMICRO,,,,,,,,NSE,
1436161,5610,ASTRAZEN,,,,,,,,NSE,
223745,874,ASTRON,,,,,,,,NSE,
144897,566,ATALREAL-SM,,,,,,,,NSE,
425729,1663,ATFL,,,,,,,,NSE,
1552897,6066,ATGL,,,,,,,,NSE,
3476993,13582,ATLANTA-BE,,,,,,,,NSE,
67329,263,ATUL,,,,,,,,NSE,
7685889,30023,ATULAUTO,,,,,,,,NSE,
5436929,21238,AUBANK,,,,,,,,NSE,
4803073,18762,AURDIS-SM,,,,,,,,NSE,
3077633,12022,AURIONPRO,,,,,,,,NSE,
70401,275,AUROPHARMA,,,,,,,,NSE,
2639361,10310,AURUM,,,,,,,,NSE,
2468609,9643,AURUMPP-E1,,,,,,,,NSE,
1033473,4037,AUSOMENT,,,,,,,,NSE,
71169,278,AUTOAXLES,,,,,,,,NSE,
2017281,7880,AUTOBEES,,,,,,,,NSE,
2598401,10150,AUTOBEINAV,,,,,,,,NSE,
3611137,14106,AUTOIND,,,,,,,,NSE,
5479937,21406,AVADHSUGAR,,,,,,,,NSE,
2031617,7936,AVANTIFEED,,,,,,,,NSE,
670977,2621,AVG-SM,,,,,,,,NSE,
3470593,13557,AVONMORE,,,,,,,,NSE,
2259713,8827,AVROIND,,,,,,,,NSE,
4785153,18692,AVSL-SM,,,,,,,,NSE,
3586049,14008,AVTNPL,,,,,,,,NSE,
460033,1797,AWHCL,,,,,,,,NSE,
2076161,8110,AWL,,,,,,,,NSE,
1510401,5900,AXISBANK,,,,,,,,NSE,
2556673,9987,AXISBNINAV,,,,,,,,NSE,
267265,1044,AXISBNKETF,,,,,,,,NSE,
2556417,9986,AXISBPINAV,,,,,,,,NSE,
903681,3530,AXISBPSETF,,,,,,,,NSE,
2415617,9436,AXISCADES,,,,,,,,NSE,
2556929,9988,AXISCEINAV,,,,,,,,NSE,
1467393,5732,AXISCETF,,,,,,,,NSE,
2109185,8239,AXISGOINAV,,,,,,,,NSE,
5256193,20532,AXISGOLD,,,,,,,,NSE,
923649,3608,AXISHCETF,,,,,,,,NSE,
2553345,9974,AXISHCINAV,,,,,,,,NSE,
2868737,11206,AXISILINAV,,,,,,,,NSE,
2868993,11207,AXISILINAV-RL,,,,,,,,NSE,
2865409,11193,AXISILVER,,,,,,,,NSE,
5440513,21252,AXISNIFTY,,,,,,,,NSE,
2557185,9989,AXISNIINAV,,,,,,,,NSE,
770561,3010,AXISTECETF,,,,,,,,NSE,
2558977,9996,AXISTEINAV,,,,,,,,NSE,
2534913,9902,AXITA,,,,,,,,NSE,
2632961,10285,AYMSYNTEX,,,,,,,,NSE,
4540161,17735,BAFNAPH-BE,,,,,,,,NSE,
2873857,11226,BAGFILMS,,,,,,,,NSE,
3325185,12989,BAHETI-SM,,,,,,,,NSE,
3531265,13794,BAIDFIN,,,,,,,,NSE,
4267265,16669,BAJAJ-AUTO,,,,,,,,NSE,
4999937,19531,BAJAJCON,,,,,,,,NSE,
3848705,15034,BAJAJELEC,,,,,,,,NSE,
4268801,16675,BAJAJFINSV,,,,,,,,NSE,
1756929,6863,BAJAJHCARE,,,,,,,,NSE,
78849,308,BAJAJHIND,,,,,,,,NSE,
78081,305,BAJAJHLDNG,,,,,,,,NSE,
81153,317,BAJFINANCE,,,,,,,,NSE,
2344449,9158,BALAJITELE,,,,,,,,NSE,
3712257,14501,BALAMINES,,,,,,,,NSE,
2895105,11309,BALAXI,,,,,,,,NSE,
2606337,10181,BALKRISHNA,,,,,,,,NSE,
85761,335,BALKRISIND,,,,,,,,NSE,
332545,1299,BALLARPUR-BZ,,,,,,,,NSE,
86529,338,BALMLAWRIE,,,,,,,,NSE,
3440897,13441,BALPHARMA,,,,,,,,NSE,
87297,341,BALRAMCHIN,,,,,,,,NSE,
88833,347,BANARBEADS,,,,,,,,NSE,
89601,350,BANARISUG,,,,,,,,NSE,
3553281,13880,BANCOINDIA,,,,,,,,NSE,
579329,2263,BANDHANBNK,,,,,,,,NSE,
3917569,15303,BANG,,,,,,,,NSE,
210433,822,BANKA,,,,,,,,NSE,
1195009,4668,BANKBARODA,,,,,,,,NSE,
2928385,11439,BANKBEES,,,,,,,,NSE,
1214721,4745,BANKINDIA,,,,,,,,NSE,
3714817,14511,BANSWRAS,,,,,,,,NSE,
800513,3127,BARBEQUE,,,,,,,,NSE,
94209,368,BASF,,,,,,,,NSE,
3080705,12034,BASML,,,,,,,,NSE,
94977,371,BATAINDIA,,,,,,,,NSE,
4589313,17927,BAYERCROP,,,,,,,,NSE,
1842177,7196,BBETF0432,,,,,,,,NSE,
2565377,10021,BBETF0INAV,,,,,,,,NSE,
3522817,13761,BBL,,,,,,,,NSE,
879361,3435,BBOX,,,,,,,,NSE,
97281,380,BBTC,,,,,,,,NSE,
3111169,12153,BBTCL,,,,,,,,NSE,
2261249,8833,BCG,,,,,,,,NSE,
643329,2513,BCLIND,,,,,,,,NSE,
1991681,7780,BCONCEPTS,,,,,,,,NSE,
2985473,11662,BCP,,,,,,,,NSE,
548865,2144,BDL,,,,,,,,NSE,
1099265,4294,BDR-IT,,,,,,,,NSE,
4590849,17933,BEARDSELL,,,,,,,,NSE,
416769,1628,BECTORFOOD,,,,,,,,NSE,
5170177,20196,BEDMUTHA,,,,,,,,NSE,
98049,383,BEL,,,,,,,,NSE,
101121,395,BEML,,,,,,,,NSE,
107265,419,BEPL,,,,,,,,NSE,
103425,404,BERGEPAINT,,,,,,,,NSE,
590337,2306,BESTAGRO,,,,,,,,NSE,
20737,81,BETA-SM,,,,,,,,NSE,
1449473,5662,BEWLTD-SM,,,,,,,,NSE,
5404929,21113,BFINVEST,,,,,,,,NSE,
3729153,14567,BFUTILITIE,,,,,,,,NSE,
2910977,11371,BGLOBAL-BZ,,,,,,,,NSE,
3888385,15189,BGRENERGY,,,,,,,,NSE,
1577985,6164,BHAGCHEM,,,,,,,,NSE,
3430401,13400,BHAGERIA,,,,,,,,NSE,
5318657,20776,BHAGYANGR,,,,,,,,NSE,
2556161,9985,BHALCHANDR-IT,,,,,,,,NSE,
5006337,19556,BHANDARI,,,,,,,,NSE,
108033,422,BHARATFORG,,,,,,,,NSE,
109057,426,BHARATGEAR,,,,,,,,NSE,
981505,3834,BHARATRAS,,,,,,,,NSE,
4127489,16123,BHARATWIRE,,,,,,,,NSE,
2714625,10604,BHARTIARTL,,,,,,,,NSE,
112129,438,BHEL,,,,,,,,NSE,
4718337,18431,BIGBLOC,,,,,,,,NSE,
3063297,11966,BIKAJI,,,,,,,,NSE,
2009089,7848,BIL,,,,,,,,NSE,
3488001,13625,BINANIIND,,,,,,,,NSE,
120577,471,BINDALAGRO,,,,,,,,NSE,
2911489,11373,BIOCON,,,,,,,,NSE,
1058817,4136,BIOFILCHEM,,,,,,,,NSE,
563969,2203,BIRET-RR,,,,,,,,NSE,
122113,477,BIRLACABLE,,,,,,,,NSE,
122881,480,BIRLACORPN,,,,,,,,NSE,
3901185,15239,BIRLAMONEY,,,,,,,,NSE,
4502529,17588,BIRLATYRE-BE,,,,,,,,NSE,
1481985,5789,BKMINDST-BZ,,,,,,,,NSE,
2081793,8132,BLBLIMITED,,,,,,,,NSE,
4931841,19265,BLISSGVS,,,,,,,,NSE,
3402241,13290,BLKASHYAP,,,,,,,,NSE,
4423425,17279,BLS,,,,,,,,NSE,
2214401,8650,BLUECHIP-BE,,,,,,,,NSE,
2189313,8552,BLUECOAST-BE,,,,,,,,NSE,
126721,495,BLUEDART,,,,,,,,NSE,
2127617,8311,BLUESTARCO,,,,,,,,NSE,
1549313,6052,BMETRICS-SM,,,,,,,,NSE,
6404353,25017,BODALCHEM,,,,,,,,NSE,
2979841,11640,BOHRAIND,,,,,,,,NSE,
131329,513,BOMDYEING,,,,,,,,NSE,
4966657,19401,BOROLTD,,,,,,,,NSE,
806145,3149,BORORENEW,,,,,,,,NSE,
558337,2181,BOSCHLTD,,,,,,,,NSE,
134657,526,BPCL,,,,,,,,NSE,
135681,530,BPL,,,,,,,,NSE,
3887105,15184,BRIGADE,,,,,,,,NSE,
998657,3901,BRIGHT-SM,,,,,,,,NSE,
140033,547,BRITANNIA,,,,,,,,NSE,
1296897,5066,BRITANNIA-N3,,,,,,,,NSE,
5550849,21683,BRNL,,,,,,,,NSE,
6434817,25136,BROOKS,,,,,,,,NSE,
5013761,19585,BSE,,,,,,,,NSE,
207873,812,BSHSL-BE,,,,,,,,NSE,
143105,559,BSL,,,,,,,,NSE,
6093825,23804,BSLGOLDETF,,,,,,,,NSE,
2109441,8240,BSLGOLINAV,,,,,,,,NSE,
2552833,9972,BSLNIFINAV,,,,,,,,NSE,
6343937,24781,BSLNIFTY,,,,,,,,NSE,
1524993,5957,BSLSENETFG,,,,,,,,NSE,
2552577,9971,BSLSENINAV,,,,,,,,NSE,
1790465,6994,BSOFT,,,,,,,,NSE,
3622401,14150,BTML,,,,,,,,NSE,
3889665,15194,BURNPUR,,,,,,,,NSE,
695297,2716,BUTTERFLY,,,,,,,,NSE,
3858689,15073,BVCL,,,,,,,,NSE,
2027265,7919,BYKE,,,,,,,,NSE,
5586689,21823,CADSYS-SM,,,,,,,,NSE,
2135297,8341,CALSOFT,,,,,,,,NSE,
1591297,6216,CAMLINFINE,,,,,,,,NSE,
2396673,9362,CAMPUS,,,,,,,,NSE,
87553,342,CAMS,,,,,,,,NSE,
2763265,10794,CANBK,,,,,,,,NSE,
149249,583,CANFINHOME,,,,,,,,NSE,
5160961,20160,CANTABIL,,,,,,,,NSE,
5567745,21749,CAPACITE,,,,,,,,NSE,
999937,3906,CAPLIPOINT,,,,,,,,NSE,
4978433,19447,CAPTRUST,,,,,,,,NSE,
152321,595,CARBORUNIV,,,,,,,,NSE,
5142017,20086,CAREERP,,,,,,,,NSE,
7452929,29113,CARERATING,,,,,,,,NSE,
1384193,5407,CARTRADE,,,,,,,,NSE,
481025,1879,CARYSIL,,,,,,,,NSE,
320001,1250,CASTROLIND,,,,,,,,NSE,
3838977,14996,CCCL-BE,,,,,,,,NSE,
1634561,6385,CCHHL,,,,,,,,NSE,
2931713,11452,CCL,,,,,,,,NSE,
5420545,21174,CDSL,,,,,,,,NSE,
3905025,15254,CEATLTD,,,,,,,,NSE,
3369473,13162,CELEBRITY,,,,,,,,NSE,
158465,619,CENTENKA,,,,,,,,NSE,
2946817,11511,CENTEXT,,,,,,,,NSE,
3812865,14894,CENTRALBK,,,,,,,,NSE,
628225,2454,CENTRUM,,,,,,,,NSE,
3835393,14982,CENTUM,,,,,,,,NSE,
3406081,13305,CENTURYPLY,,,,,,,,NSE,
160001,625,CENTURYTEX,,,,,,,,NSE,
3849985,15039,CERA,,,,,,,,NSE,
